text,label
**** the day flies when u got 3647 things to do and only 8 hours to do it in!!,negative
I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.,neutral
 life is funny and ironic at the same time isn`****?,neutral
"I've been enjoying the app. I love how I can easily set recurring tasks. There's just one thing I wish I could change. I wish I could change the hour at which a new day begins. I know that sounds weird, but I am a night owl and usually don't go to bed until after midnight. Before I settle down for the night, I like to review my day and check off tasks that I forgot to check off earlier. But by the time I do that, it is technically a new day and the tasks are automatically marked overdue.",positive
"going to work, it`s 3:30am",neutral
"This task app is the only decent option I've found for combining tasks and calendar events into one scrollable widget. Tasks can be set to repeat from the date completed, which is essential for things like haircuts and cleaning schedules. Unfortunately, neither the app nor the widget (which is especially important) has many customization options. One option I would like, in particular, is the ability to hide the widget's title bar. Obviously color and display options would be nice, too.",neutral
Bed. Church in the morning. Happy mothers day,positive
 heLLo tayLor.. just wanna say i`ve aLready voted 4 u i think 5 times..haha,neutral
 i quite like God Save Our King too,positive
Good app,neutral
enjoying lazying around eating roses chocolates  x,positive
I wish I could spend my last weekend as a high school student in burbank with everyone and not fly off to dc,positive
"Thank you developers for creating such a marvelous app, i found app history on the link you provided below, and it has all records of everything. This app has really changed my life, I hope to see more such apps from the developers. And there are no cons or bugs i have faced till now. May god bless the developers for improving the lives of people, I would rate 7 stars for such a extraordinary app. Lots of love <3",positive
 awww  thanks lol - ermm what happened to the studying !? ha ha,positive
"Love it! This app has really helped me stay focused on my school work, and I feel really good that my points are going towards planting a real tree. The rate of reward is low enough to make it a challenge, but high enough to make it satisfying. Very cool, especially for a free app.",positive
 Aww how cute! You`d love my bathroom  http://twitpic.com/4jez4,positive
" I am UCE, I did my PGCE there   went to Leicester for my main degree though ...",neutral
Saw Fiddler with Topol! The girls LOOOOVED it!  Next month... Annie! 7th row! *can`t wait* Trip 2 the music store for Fiddler sheet music.,positive
sorry guys i didn`t sign in for a while  sorry every1,negative
found any decently priced breakfast yet? i hope you do  ,neutral
  My Power was cut off  thats where i went,negative
 lolz at your modesty...***kix rox***...now all the gals will be lined up at your door,positive
Purchased app palette. When I try to use it app stops every time.,negative
"Alarms or notifications don't work unless you open the app, then it floods all the notifications for the tasks as i open the app. Defeats the purpose of the app. Tedious round-about way to delete a Habit compared to deleting a Task. Not sure how this app got a 4.6 rating.",negative
 we are all so proud of you! I am seriously thinking of joining you next year. Got to get training,positive
"I am just beginning to use this app, but it appears to have everything I need",positive
can you fix Google fit integration? use their movement points?,neutral
 hahaha. do it  you`ll have a blast.,positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
" http://twitpic.com/5rylt - ur so lucky! there, the stage its so close of theem! here not  i think we`re dangerous (?",neutral
 U SO funny but u right! I like BSB but Im not as fan than U I love much better Tupac & TLC..2 bad they`re not singing anymore,neutral
Still totally excited that my oldest friend  has twitter. I luff my Spencer! Even though he has rabies,positive
" if you like those cookies, you are going to LOVE my cookies   Lars Tetens cookies that is. You coming to see us on 5/16?",positive
Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,negative
"On the monday, so i wont be able to be with you!  i love you",positive
 oh i love sunday mornings like this - mum just made scrambled eggs on toast,positive
 Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...,neutral
Don't like the new changes.,negative
 http://twitpic.com/4fzo7 - When you`ll come in Bulgaria??? You have a great fans here!,positive
I`m not impressed that it almost always rains on Bank Holidays !! Stil... It`s a free day - no college,negative
 mine do it no matter WHO i`m on the phone with!,neutral
"Too difficult to figure out how to set up, can't add times to daily routines. This app is a waste of space.",negative
"Right! Into action! Grab a shower, grab my camera and, I think, a walk in the sunshine along the canal. Later, good tweeple",positive
Well,positive
"back,had a great MAD monday meeting tomorrow",positive
 thank u sweetie! Can`t wait to set sail with u next week,positive
Wish I was at sri panwa now,positive
Morning...I woke up to watch  on the Today show. You rocked it girl. Wish I could have been there. So close but so far away,neutral
omgg i ohhdee want mcdonalds damn i wonder if its open lol =],positive
Happy Mothers Day mom!  I love you!,positive
Its 1:47 here... hmm wat to do? not sleep for shure!,neutral
My head hurts so bad I could scream!,negative
Allow notes and tasks sync to Google drive with date & time stamps.,positive
 btw - downloaded iphone 3.0 sdk,neutral
Im so tired and sick  i have to be better on Sunday so i can sing morning and night,neutral
 Ferns n petals (fnp.in) should help you accomplish that task,positive
  Thanks! My mom`s seed is larger and already cracked (and planted). I hope Avalina isn`t a dud!,negative
good morning everbody!,positive
" I`ve read good things bout it. Just not feelin it tonight. Proly finish it tomorrow, after Star Trek",positive
day started off bad but got better,neutral
" Get my **** out the door and go to work   I`m goin, I`m goin!!!!",neutral
"PREVIOUSLY: The best to-do app by a million billion miles! I have tried many other systems and this one beats all the others for sheer usability and adjustability- excellent system. 26/10/19 UPDATE: This major update to your app is, for me, unfortunately counter intuitive, poor and makes my life harder! I like enhancements to apps but sometimes, as in this case, fiddling with something which was already very good is likely to make it worse. Many of the new ""features"" make the app worse!",neutral
Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc,neutral
Easy to add habits and tasks; you see everything for that dat,positive
 nope i have a fifth generation ipod classic  it likes to be dumb,negative
Want 2 transfer my Naini trip pictures 2my comp so I can upload thm on web bt i dnt hv my USB  Snt few via multimedia @ 5 Rs/pic. Expnsiv!,neutral
"I get notifications on time, and this app has various features, including pomodoro, all in one. Super happy with the present.",positive
hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,negative
is watching 1000 places to see before you die,neutral
 I did?!  yay! Where did I get that extra ï¿½300 from? Hmm.. anyway  I`m going to be partying hard when I get it,positive
 In two months i will have something of the kinf of prom  and i`m really excited! and you haven`t any contact to her?,positive
"I got so much gray hair all of a sudden.  I just ordered me some Garnier Roasted Coffee from drugstore.com, well see how that goes.",neutral
sitting around doing **** all....tired,negative
Bank holiday rock seems so fitting  ? http://blip.fm/~5jg16,neutral
 I missed Match Game tonight    I hope I make it tomorrow night.,negative
Hello  Back to work today after a week of vacation !,neutral
"I love this app, it's the only one that looks and feels like the old Franklin planner, however; since the latest update I have a banner ad on the bottom of the screen with Google ads and I am a paid pro user. This is extremely annoying. If they don't remove this, I'm leaving.",neutral
i wanna good breakfast with   school is wiggity whack!,positive
Just went with Kerri to her locker for the last time.,neutral
 You live dat glamorous life.,positive
"I have class tomorrow and tomorrow is Saturday, I hate having class Saturday",negative
.. i am going to fail my art final. FML. this was by far the worst semester of my life school wise- otherwise it was the best,neutral
" fyi, connie and carla is not as totally awesome as the previews make it seem  sorry about that one.",negative
im only doing this because it would not stop telling me give then a rating. (hence the lower score) pretty good app and the best part is it has a widget and only a one time fee to have full access to app.,neutral
Have a happy Friday and weekend everyone .. TGIF for me is nothing,positive
Not remind me,negative
